State,Deaths,Deaths(Male),Deaths(Female),Crude death rate,Crude death rate (Male),Crude death rate (Female)
Johor,25305,14618,10687,6.3,6.8,5.7
Kedah,17628,9792,7836,8.1,8.9,7.4
Kelantan,13445,7411,6034,7.3,8.1,6.6
Melaka,6630,3669,2961,6.6,6.9,6.2
Negeri Sembilan,8636,4959,3677,7.1,7.9,6.3
Pahang,11022,6516,4506,6.8,7.6,5.9
Perak,22341,12641,9700,8.9,9.7,8
Perlis,2422,1348,1074,8.4,9.3,7.4
Pulau Pinang,12920,7338,5582,7.4,8.2,6.6
Sabah,17395,10084,7311,5.1,5.7,4.5
Sarawak,16627,9566,7061,6.7,7.5,5.9
Selangor,32861,19023,13838,4.7,5.1,4.2
Terengganu,8686,4762,3924,7.3,7.8,6.8
WP Kuala Lumpur,9962,5706,4256,5.1,5.5,4.6
WP Labuan,392,218,174,4,4.4,3.7
WP Putrajaya,253,139,114,2.2,2.4,1.9
